Date,Open,High,Low,Close,Volume
6/27/1997 16:00:00,0.08,0.08,0.07,0.07,99000
6/30/1997 16:00:00,0.08,0.08,0.07,0.08,228900
7/1/1997 16:00:00,0.08,0.08,0.08,0.08,107700
7/2/1997 16:00:00,0.08,0.08,0.08,0.08,323500
7/3/1997 16:00:00,0.08,0.1,0.08,0.1,1048101
7/7/1997 16:00:00,0.09,0.1,0.09,0.1,671100
7/8/1997 16:00:00,0.1,0.12,0.1,0.12,1293101
7/9/1997 16:00:00,0.12,0.12,0.11,0.12,688500
7/10/1997 16:00:00,0.12,0.13,0.12,0.13,754300
7/11/1997 16:00:00,0.13,0.13,0.11,0.11,847300
7/14/1997 16:00:00,0.12,0.12,0.11,0.11,383700
7/15/1997 16:00:00,0.12,0.12,0.11,0.11,383700
7/16/1997 16:00:00,0.12,0.12,0.12,0.12,240500
7/17/1997 16:00:00,0.12,0.12,0.11,0.11,264100
7/18/1997 16:00:00,0.11,0.11,0.11,0.11,65000
7/21/1997 16:00:00,0.11,0.11,0.11,0.11,47900
7/22/1997 16:00:00,0.11,0.11,0.1,0.11,130300
7/23/1997 16:00:00,0.11,0.12,0.11,0.11,271600
7/24/1997 16:00:00,0.11,0.12,0.11,0.11,101400
7/25/1997 16:00:00,0.11,0.11,0.11,0.11,51700
7/28/1997 16:00:00,0.11,0.12,0.11,0.12,169300
7/29/1997 16:00:00,0.12,0.12,0.12,0.12,401200
7/30/1997 16:00:00,0.12,0.13,0.12,0.12,209800
7/31/1997 16:00:00,0.12,0.12,0.12,0.12,121200
8/1/1997 16:00:00,0.12,0.12,0.11,0.12,299000
8/4/1997 16:00:00,0.12,0.12,0.12,0.12,222600
8/5/1997 16:00:00,0.12,0.12,0.11,0.11,252700
8/6/1997 16:00:00,0.11,0.12,0.11,0.11,103600
8/7/1997 16:00:00,0.11,0.11,0.11,0.11,169400
8/8/1997 16:00:00,0.11,0.12,0.11,0.11,184300
8/11/1997 16:00:00,0.11,0.12,0.11,0.12,103300
8/12/1997 16:00:00,0.11,0.12,0.11,0.11,47600
8/13/1997 16:00:00,0.11,0.11,0.11,0.11,49200
8/14/1997 16:00:00,0.11,0.11,0.11,0.11,86800
8/15/1997 16:00:00,0.11,0.11,0.1,0.11,133100
8/18/1997 16:00:00,0.11,0.11,0.1,0.1,148700
8/19/1997 16:00:00,0.1,0.11,0.1,0.11,83600
8/20/1997 16:00:00,0.11,0.11,0.1,0.11,82900
8/21/1997 16:00:00,0.11,0.11,0.1,0.11,61900
8/22/1997 16:00:00,0.11,0.11,0.1,0.11,59400
8/25/1997 16:00:00,0.11,0.11,0.11,0.11,93900
8/26/1997 16:00:00,0.11,0.12,0.11,0.12,217500
8/27/1997 16:00:00,0.12,0.12,0.11,0.12,116000
