Date,Open,High,Low,Close,Volume
11/29/1999 16:00:00,18.5,18.5,17.88,18.13,15400
11/30/1999 16:00:00,18.19,18.38,18.19,18.38,37200
12/1/1999 16:00:00,18.38,18.63,18.25,18.56,43100
12/2/1999 16:00:00,18.56,19,18.56,19,28300
12/3/1999 16:00:00,19.19,19.38,19.06,19.19,62000
12/6/1999 16:00:00,19.19,19.19,18.25,18.38,32100
12/7/1999 16:00:00,18.5,19,18.44,18.63,111600
12/8/1999 16:00:00,18.5,18.5,18,18.19,21400
12/9/1999 16:00:00,18.25,18.31,18.13,18.25,11900
12/10/1999 16:00:00,18.13,18.13,17.63,17.63,21000
12/13/1999 16:00:00,17.75,17.75,17.44,17.44,43100
12/14/1999 16:00:00,17.25,17.25,17.13,17.13,7900
12/15/1999 16:00:00,17.13,17.13,16.88,17.13,9500
12/16/1999 16:00:00,17.06,17.25,16.81,16.81,86400
12/17/1999 16:00:00,16.69,17.25,16.69,17.13,34600
12/20/1999 16:00:00,17,17,16.81,16.94,29500
12/21/1999 16:00:00,16.94,17.06,16.88,17,11400
12/22/1999 16:00:00,17.13,17.38,17.13,17.19,5600
12/23/1999 16:00:00,17.19,17.19,17.06,17.13,2200
12/27/1999 16:00:00,17.06,17.13,17.06,17.13,1500
12/28/1999 16:00:00,17.06,17.63,17.06,17.38,65600
12/29/1999 16:00:00,17.44,17.44,17.13,17.25,9200
12/30/1999 16:00:00,17.13,17.38,17.13,17.31,4200
12/31/1999 16:00:00,17.25,17.38,17.19,17.19,8800
1/3/2000 16:00:00,17.44,17.5,16.63,16.63,64200
1/4/2000 16:00:00,16.63,16.63,15.63,15.88,79800
1/5/2000 16:00:00,15.75,15.75,15,15.75,37400
1/6/2000 16:00:00,15.75,16.19,15.75,16,38900
1/7/2000 16:00:00,15.88,16.13,15.88,15.88,31800
1/10/2000 16:00:00,16.5,16.5,16,16,93100
1/11/2000 16:00:00,16.13,16.75,16.13,16.44,38400
1/12/2000 16:00:00,16.5,17.13,16.5,17.13,24400
1/13/2000 16:00:00,16.88,17.13,16.88,16.94,58700
1/14/2000 16:00:00,17,17.75,16.88,17.5,171300
1/18/2000 16:00:00,17.75,18.25,17.75,18,73400
1/19/2000 16:00:00,18,18.38,17.94,18.19,25200
1/20/2000 16:00:00,18,18.38,17.38,17.5,41300
1/21/2000 16:00:00,17.44,17.5,17.25,17.38,12500
1/24/2000 16:00:00,17.44,17.5,17,17.13,5200
1/25/2000 16:00:00,17.44,17.5,17.06,17.25,16900
1/26/2000 16:00:00,17.25,17.5,17.25,17.44,16400
1/27/2000 16:00:00,17.44,18,17.44,17.5,33300
1/28/2000 16:00:00,17.63,17.63,17.38,17.38,2800
1/31/2000 16:00:00,17.13,17.5,17.13,17.25,50600
2/1/2000 16:00:00,17.38,17.75,17.38,17.75,14900
2/2/2000 16:00:00,18,18.13,17.88,17.94,92200
2/3/2000 16:00:00,18.06,18.06,17.94,18,34700
2/4/2000 16:00:00,18.13,18.56,18.13,18.44,49500
2/7/2000 16:00:00,18.44,18.56,18.38,18.5,23900
2/8/2000 16:00:00,18.5,18.75,18.5,18.56,44900
2/9/2000 16:00:00,18.5,18.75,18.38,18.38,8800
2/10/2000 16:00:00,18.5,18.5,17.88,17.88,9200
2/11/2000 16:00:00,18,18,17.88,17.94,23700
2/14/2000 16:00:00,18.06,18.06,17.88,18,7000
2/15/2000 16:00:00,17.88,18,17.88,17.88,4600
2/16/2000 16:00:00,17.88,18.5,17.88,18.5,68100
2/17/2000 16:00:00,18.5,18.5,18.31,18.38,22600
2/18/2000 16:00:00,18.38,18.56,18.38,18.5,3300
2/22/2000 16:00:00,18.63,18.81,18.56,18.63,7500
2/23/2000 16:00:00,18.56,18.94,18.56,18.81,5000
2/24/2000 16:00:00,18.88,19,18.88,19,60200
2/25/2000 16:00:00,19,19.25,19,19.25,36600
2/28/2000 16:00:00,19.25,20.13,19.25,20.13,31000
2/29/2000 16:00:00,21.75,21.88,21.63,21.88,79900
3/1/2000 16:00:00,22.5,22.5,21.75,21.75,101900
3/2/2000 16:00:00,22,22.13,22,22.06,25400
3/3/2000 16:00:00,22.13,22.13,22.06,22.13,17300
3/6/2000 16:00:00,22.06,22.19,22.06,22.06,7100
3/7/2000 16:00:00,22.13,22.13,21.88,22,25700
3/8/2000 16:00:00,22,22.19,22,22,29400
3/9/2000 16:00:00,21.88,22,21.75,22,7800
3/10/2000 16:00:00,22,22.13,21.94,22.13,1600
3/13/2000 16:00:00,22.38,23,22.25,22.88,26900
3/14/2000 16:00:00,22.38,23,22.25,22.88,500
3/15/2000 16:00:00,23.13,24.13,23,24.13,28000
3/16/2000 16:00:00,23.13,24.75,23,24.38,18100
3/17/2000 16:00:00,23.38,24.75,23.38,24.75,72300
3/20/2000 16:00:00,24,24.25,24,24,129500
3/21/2000 16:00:00,23.75,24,23.75,24,65500
3/22/2000 16:00:00,23.75,23.75,22.63,22.63,35400
3/23/2000 16:00:00,22.63,22.63,22.5,22.5,900
3/24/2000 16:00:00,22.5,22.5,22.44,22.44,4400
3/27/2000 16:00:00,22.19,22.19,22.06,22.06,11900
3/28/2000 16:00:00,22.19,22.19,20,20,29500
3/29/2000 16:00:00,22.19,22.19,19.75,19.75,70900
3/30/2000 16:00:00,20.5,20.5,20,20.44,18300
3/31/2000 16:00:00,20.44,20.44,20.25,20.38,5800
4/3/2000 16:00:00,20.44,20.69,20.25,20.63,3700
4/4/2000 16:00:00,20.44,20.88,20.25,20.75,77700
4/5/2000 16:00:00,20.75,21.44,20.75,21.44,32500
4/6/2000 16:00:00,21.13,22.38,21.13,22.38,11100
4/7/2000 16:00:00,22.25,24.44,22.25,24.25,43400
4/10/2000 16:00:00,24.25,24.25,24,24,15700
4/11/2000 16:00:00,24.25,24.25,24,24.06,5800
4/12/2000 16:00:00,24,24,23.81,23.88,3800
4/13/2000 16:00:00,23.75,23.75,23.38,23.38,4900
4/14/2000 16:00:00,23.25,23.25,23,23,9700
4/17/2000 16:00:00,22.88,22.88,22.38,22.44,15000
4/18/2000 16:00:00,22.31,22.31,21.88,21.94,2800
4/19/2000 16:00:00,22.31,22.31,21,21,20300
4/20/2000 16:00:00,21,21.13,20.94,21.13,7100
4/24/2000 16:00:00,21.06,21.63,21,21.63,14200
4/25/2000 16:00:00,21.88,24.5,21.69,24,72100
4/26/2000 16:00:00,24.25,24.25,23.81,24.13,63100
4/27/2000 16:00:00,24,24.38,24,24.31,9100
4/28/2000 16:00:00,24.5,26,24.38,26,35700
5/1/2000 16:00:00,26.25,26.5,24,24,91200
5/2/2000 16:00:00,24.13,24.13,23.75,23.81,6100
5/3/2000 16:00:00,24.13,24.38,23.75,24.25,22800
5/4/2000 16:00:00,24,24,23.63,23.63,6000
5/5/2000 16:00:00,23.5,23.75,23.5,23.69,6000
5/8/2000 16:00:00,23.5,24,23.5,24,19900
5/9/2000 16:00:00,24.06,24.38,24.06,24.38,19000
5/10/2000 16:00:00,24.5,25.06,24.38,25.06,21100
5/11/2000 16:00:00,24.5,25.75,24.38,25.25,27100
5/12/2000 16:00:00,25,25.75,24.88,25.75,30500
5/15/2000 16:00:00,25.75,26.5,25.63,25.75,67800
5/16/2000 16:00:00,25.81,26.5,25.81,26.25,25700
5/17/2000 16:00:00,26.38,26.38,26.25,26.38,4400
5/18/2000 16:00:00,26.38,26.38,26.06,26.19,9300
5/19/2000 16:00:00,26.19,26.19,26,26.13,38200
5/22/2000 16:00:00,26,26,25.81,25.81,4800
5/23/2000 16:00:00,25.38,25.38,23.75,23.75,57600
5/24/2000 16:00:00,23.5,23.63,23,23.5,28400
5/25/2000 16:00:00,23.38,23.5,23.38,23.38,12500
5/26/2000 16:00:00,23.38,23.63,23.25,23.25,64300
5/30/2000 16:00:00,23.13,23.25,22.81,23.25,87700
5/31/2000 16:00:00,23.25,24.19,23.25,24.06,67700
6/1/2000 16:00:00,24.06,24.75,24.06,24.38,35600
6/2/2000 16:00:00,24.5,26,24.5,25.75,61300
6/5/2000 16:00:00,24.5,27,24.5,26.88,113600
6/6/2000 16:00:00,26.88,26.88,26.38,26.44,56000
6/7/2000 16:00:00,26.44,26.44,25.94,25.94,14900
6/8/2000 16:00:00,25.81,25.81,25.44,25.44,16900
6/9/2000 16:00:00,25.38,25.44,25.25,25.38,28700
6/12/2000 16:00:00,25.44,25.44,24.5,25.25,73900
6/13/2000 16:00:00,24.75,26,24.75,26,182000
6/14/2000 16:00:00,26,26.81,26,26.81,155600
6/15/2000 16:00:00,27.06,28,27.06,27.5,83600
6/16/2000 16:00:00,27.5,29.25,27.5,28.88,189000
6/19/2000 16:00:00,29.25,29.38,28.75,28.81,181300
6/20/2000 16:00:00,28.63,28.63,28,28.44,56700
6/21/2000 16:00:00,28.5,29.25,28.5,29.19,32700
6/22/2000 16:00:00,29.19,31.38,29.06,30.88,48600
6/23/2000 16:00:00,30.88,30.88,30,30.19,40400
6/26/2000 16:00:00,30.88,31,30,31,82600
6/27/2000 16:00:00,31.25,32.38,31.13,32.38,53800
6/28/2000 16:00:00,32,36,32,34.88,119100
6/29/2000 16:00:00,35,35,32.63,32.63,201000
6/30/2000 16:00:00,32.88,34,29.75,29.75,228000
7/3/2000 16:00:00,29.25,29.63,29.13,29.25,51300
7/5/2000 16:00:00,29.25,29.38,28.5,29.38,74300
7/6/2000 16:00:00,29.13,29.25,28.75,28.88,50400
7/7/2000 16:00:00,29.13,29.63,28.44,29.63,34200
7/10/2000 16:00:00,29.88,32.13,29.88,32,71200
7/11/2000 16:00:00,29.88,33.81,29.88,33.38,103100
7/12/2000 16:00:00,32.31,34.25,32.31,34.25,271300
7/13/2000 16:00:00,34.25,34.25,33.69,33.69,80900
7/14/2000 16:00:00,33.69,33.88,33.69,33.88,9700
7/17/2000 16:00:00,33.88,34,33.06,33.06,39000
