Date,Open,High,Low,Close,Volume
1/27/2012 23:58:00,12687,12720,12576,12614,97066
1/30/2012 23:58:00,12609,12639,12476,12602,99401
1/31/2012 23:58:00,12579,12683,12511,12577,97231
2/1/2012 23:58:00,12656,12735,12550,12653,100929
2/2/2012 23:58:00,12667,12701,12622,12666,80637
2/3/2012 23:58:00,12666,12833,12645,12793,86879
2/6/2012 23:58:00,12776,12794,12722,12776,71110
2/7/2012 23:58:00,12825,12851,12729,12831,82689
2/8/2012 23:58:00,12840,12870,12776,12843,78245
2/9/2012 23:58:00,12841,12894,12789,12842,104105
2/10/2012 23:58:00,12836,12842,12704,12767,93783
2/13/2012 23:58:00,12834,12866,12783,12835,88088
2/14/2012 23:58:00,12839,12857,12751,12840,105543
2/15/2012 23:58:00,12759,12931,12729,12763,146648
2/16/2012 23:58:00,12870,12893,12700,12870,136399
2/17/2012 23:58:00,12873,12945,12860,12929,80405
2/20/2012 23:58:00,12993,12945,12860,12929,80405
2/21/2012 23:58:00,12941,13024,12901,12945,115310
2/22/2012 23:58:00,12919,12977,12891,12916,95441
2/23/2012 23:58:00,12976,12980,12859,12974,128864
2/24/2012 23:58:00,12981,13015,12928,12961,82410
2/27/2012 23:58:00,12972,13015,12928,12969,129226
2/28/2012 23:58:00,12995,13015,12928,12997,105024
2/29/2012 23:58:00,12925,13015,12928,12937,144503
3/1/2012 23:58:00,12974,13015,12928,12973,127381
3/2/2012 23:58:00,12985,13015,12928,12968,88584
3/5/2012 23:58:00,12957,13015,12928,12961,108909
3/6/2012 23:58:00,12741,13015,12928,12744,158473
3/7/2012 23:58:00,12837,13015,12928,12841,119848
3/8/2012 23:58:00,12908,13015,12928,12911,87969
3/9/2012 23:58:00,12906,13015,12928,12931,56879
3/12/2012 23:58:00,12969,13015,12928,12966,48530
3/13/2012 23:58:00,13178,13015,12928,13176,37646
3/14/2012 23:58:00,13125,12937,12862,13130,115041
3/15/2012 23:58:00,13169,12937,12862,13172,110976
3/16/2012 23:58:00,13169,12937,12862,13163,73406
3/19/2012 23:58:00,13166,12937,12862,13167,97568
3/20/2012 23:58:00,13109,12937,12862,13108,105425
3/21/2012 23:58:00,13070,12937,12862,13066,100580
3/22/2012 23:58:00,13002,12937,12862,13001,117678
3/23/2012 23:58:00,13008,12937,12862,13032,85775
3/26/2012 23:58:00,13197,12937,12862,13200,97619
3/27/2012 23:58:00,13124,13128,13114,13124,292
3/28/2012 23:58:00,13051,13058,13047,13053,133
3/29/2012 23:58:00,13076,13087,13074,13078,276
3/30/2012 23:58:00,13076,13158,13067,13142,88397
4/2/2012 23:58:00,13187,13187,13173,13189,343
4/3/2012 23:58:00,13133,13135,13124,13132,250
4/4/2012 23:58:00,13001,13005,12985,13005,244
4/5/2012 23:58:00,12978,12986,12972,12978,184
4/6/2012 23:58:00,12978,13012,12831,12978,8894
4/9/2012 23:58:00,12850,12860,12846,12850,584
4/10/2012 23:58:00,12686,12708,12686,12680,528
4/11/2012 23:58:00,12744,12755,12744,12744,216
4/12/2012 23:58:00,12949,12953,12934,12950,443
4/13/2012 23:58:00,12949,12971,12775,12788,132092
4/16/2012 23:58:00,12850,12861,12850,12850,265
4/17/2012 23:58:00,13026,13030,13020,13024,789
4/18/2012 23:58:00,12964,12970,12957,12957,199
4/19/2012 23:58:00,12909,12918,12903,12902,150
4/20/2012 23:58:00,12909,13027,12876,12988,110589
4/23/2012 23:58:00,12870,12888,12870,12871,247
4/24/2012 23:58:00,12968,13002,12956,12959,2120
4/25/2012 23:58:00,13041,13042,13029,13040,185
4/26/2012 23:58:00,13160,13168,13119,13160,1666
4/27/2012 23:58:00,13160,13211,13088,13164,112035
4/30/2012 23:58:00,13166,13177,13166,13155,410
5/1/2012 23:58:00,13219,13226,13214,13218,503
5/2/2012 23:58:00,13201,13207,13199,13204,104
5/3/2012 23:58:00,13144,13149,13140,13143,482
5/4/2012 23:58:00,13144,13168,12952,12957,139189
5/7/2012 23:58:00,12955,12968,12953,12959,178
5/8/2012 23:58:00,12875,12884,12875,12867,156
5/9/2012 23:58:00,12795,12801,12741,12795,2258
5/10/2012 23:58:00,12833,12840,12723,12834,2310
5/11/2012 23:58:00,12833,12883,12723,12788,130526
5/14/2012 23:58:00,12662,12665,12642,12655,509
5/15/2012 23:58:00,12607,12625,12607,12605,914
5/16/2012 23:58:00,12575,12588,12572,12574,228
5/17/2012 23:58:00,12422,12444,12408,12413,1344
5/18/2012 23:58:00,12422,12480,12318,12335,184650
5/21/2012 23:58:00,12489,12489,12474,12490,318
5/22/2012 23:58:00,12480,12486,12469,12477,188
5/23/2012 23:58:00,12464,12470,12453,12466,514
5/24/2012 23:58:00,12538,12551,12527,12536,797
5/25/2012 23:58:00,12538,12586,12401,12429,135469
