Date,Open,High,Low,Close,Volume
1/18/1999 15:30:00,15.97,15.97,15.43,15.63,27918
1/19/1999 15:30:00,15.64,16.88,15.64,16.88,56201
1/21/1999 15:30:00,17.39,18.23,17.38,18.23,32970
1/22/1999 15:30:00,19.52,19.52,18.48,19.09,56203
1/25/1999 15:30:00,19.08,19.3,17.68,18.05,43358
1/27/1999 15:30:00,18.74,19.14,18.16,18.26,50149
1/28/1999 15:30:00,18.36,18.73,17.38,17.59,44767
1/29/1999 15:30:00,17.66,18.47,17.66,18.42,56700
2/1/1999 15:30:00,18.36,18.41,17.58,17.71,38630
2/2/1999 15:30:00,17.6,18.05,17.27,17.27,60129
2/3/1999 15:30:00,17.6,18.16,17.58,18.16,38584
2/4/1999 15:30:00,18.16,18.48,17.85,17.91,28670
2/5/1999 15:30:00,17.94,19.34,17.85,19.34,109393
2/8/1999 15:30:00,19.92,20.12,17.8,18.24,81904
2/9/1999 15:30:00,18.16,19.63,18.16,19.54,71561
2/10/1999 15:30:00,19.73,19.86,18.98,19.16,75836
2/11/1999 15:30:00,19.32,19.38,19,19.25,25209
2/12/1999 15:30:00,19.41,19.77,19.22,19.38,48343
2/15/1999 15:30:00,19.73,19.73,19.22,19.26,27573
2/16/1999 15:30:00,19.22,19.41,19.15,19.33,17558
2/17/1999 15:30:00,19.26,20.31,19.14,20.12,103690
2/18/1999 15:30:00,20.27,20.7,20.12,20.49,83923
2/19/1999 15:30:00,20.7,20.7,20.12,20.42,19495
2/22/1999 15:30:00,20.55,20.69,19.92,20,43434
2/23/1999 15:30:00,19.96,20.23,19.77,20.08,29631
2/24/1999 15:30:00,20.08,20.43,19.91,20.2,42966
2/25/1999 15:30:00,20.23,21.47,20.13,20.94,106389
2/26/1999 15:30:00,21.09,21.29,20.71,20.94,46491
3/1/1999 15:30:00,24.02,24.42,23.32,24.42,66829
3/3/1999 15:30:00,26.38,26.38,25.98,26.38,69762
3/4/1999 15:30:00,26.33,26.56,24.27,24.69,136066
3/5/1999 15:30:00,24.84,25.31,23.67,24.96,162429
3/8/1999 15:30:00,25.39,25.77,23.83,24.03,147980
3/9/1999 15:30:00,23.83,25.23,23.83,25.04,158097
3/10/1999 15:30:00,25.59,25.98,24.45,24.73,134552
3/11/1999 15:30:00,24.61,25.73,24.53,25.01,158428
3/12/1999 15:30:00,27.01,27.01,25.86,26.69,228155
3/15/1999 15:30:00,26.88,26.88,26.17,26.25,78473
3/16/1999 15:30:00,25.43,25.7,24.49,24.5,163740
3/17/1999 15:30:00,25.39,25.39,23.6,24.06,203042
3/18/1999 15:30:00,23.91,24.05,23.13,23.48,67034
3/19/1999 15:30:00,23.82,23.83,22.27,22.88,127535
3/22/1999 15:30:00,21.48,22.65,21.48,22.53,69043
3/23/1999 15:30:00,22.64,22.93,21.64,21.8,174358
3/24/1999 15:30:00,22.46,22.46,20.31,20.9,168030
3/25/1999 15:30:00,20.31,21.67,20.31,21.29,155003
