Date,Open,High,Low,Close,Volume
3/25/1996 15:30:00,98.09,98.09,98.09,98.09,0
3/26/1996 15:30:00,97.21,97.21,97.21,97.21,0
3/27/1996 15:30:00,97.89,97.89,97.89,97.89,0
3/29/1996 15:30:00,101.28,101.28,101.28,101.28,0
4/2/1996 15:30:00,101.23,101.23,101.23,101.23,0
4/3/1996 15:30:00,102.13,102.13,102.13,102.13,0
4/4/1996 15:30:00,100.98,100.98,100.98,100.98,0
4/5/1996 15:30:00,101.51,101.51,101.51,101.51,0
4/8/1996 15:30:00,102.64,102.64,102.64,102.64,0
4/9/1996 15:30:00,102.71,102.71,102.71,102.71,0
4/10/1996 15:30:00,102.95,102.95,102.95,102.95,0
4/11/1996 15:30:00,102.39,102.39,102.39,102.39,0
4/12/1996 15:30:00,102.63,102.63,102.63,102.63,0
4/15/1996 15:30:00,104.22,104.22,104.22,104.22,0
4/16/1996 15:30:00,104.93,104.93,104.93,104.93,0
4/17/1996 15:30:00,107.86,107.86,107.86,107.86,0
4/18/1996 15:30:00,110.94,110.94,110.94,110.94,0
4/22/1996 15:30:00,112.46,112.46,112.46,112.46,0
4/23/1996 15:30:00,111.82,111.82,111.82,111.82,0
4/24/1996 15:30:00,115.73,115.73,115.73,115.73,0
4/25/1996 15:30:00,116.5,116.5,116.5,116.5,0
4/26/1996 15:30:00,114.07,114.07,114.07,114.07,0
4/30/1996 15:30:00,114.42,114.42,114.42,114.42,0
5/2/1996 15:30:00,115.83,115.83,115.83,115.83,0
5/3/1996 15:30:00,115.09,115.09,115.09,115.09,0
5/6/1996 15:30:00,114.05,114.05,114.05,114.05,0
5/8/1996 15:30:00,115.57,115.57,115.57,115.57,0
5/9/1996 15:30:00,114.47,114.47,114.47,114.47,0
5/10/1996 15:30:00,111.72,111.72,111.72,111.72,0
5/13/1996 15:30:00,112.1,112.1,112.1,112.1,0
5/14/1996 15:30:00,112.52,112.52,112.52,112.52,0
5/15/1996 15:30:00,111.72,111.72,111.72,111.72,0
5/16/1996 15:30:00,113.69,113.69,113.69,113.69,0
5/17/1996 15:30:00,112.36,112.36,112.36,112.36,0
5/20/1996 15:30:00,110.43,110.43,110.43,110.43,0
5/21/1996 15:30:00,107.88,107.88,107.88,107.88,0
5/22/1996 15:30:00,107.29,107.29,107.29,107.29,0
5/23/1996 15:30:00,107.2,107.2,107.2,107.2,0
5/24/1996 15:30:00,107.33,107.33,107.33,107.33,0
5/27/1996 15:30:00,106.23,106.23,106.23,106.23,0
5/28/1996 15:30:00,103.28,103.28,103.28,103.28,0
5/29/1996 15:30:00,106.64,106.64,106.64,106.64,0
5/30/1996 15:30:00,106.78,106.78,106.78,106.78,0
5/31/1996 15:30:00,106.88,106.88,106.88,106.88,0
6/3/1996 15:30:00,108.23,108.23,108.23,108.23,0
6/4/1996 15:30:00,108.47,108.47,108.47,108.47,0
6/5/1996 15:30:00,109.04,109.04,109.04,109.04,0
6/6/1996 15:30:00,110.94,110.94,110.94,110.94,0
6/7/1996 15:30:00,110.64,110.64,110.64,110.64,0
6/10/1996 15:30:00,111.92,111.92,111.92,111.92,0
6/11/1996 15:30:00,112.41,112.41,112.41,112.41,0
6/12/1996 15:30:00,114.01,114.01,114.01,114.01,0
