Date,Open,High,Low,Close,Volume
1/27/2012 23:58:00,1314.75,1319.25,1307,1312.5,1730421
1/30/2012 23:58:00,1314,1314.5,1296,1309,1710571
1/31/2012 23:58:00,1309,1317.5,1302.25,1308.25,1891559
2/1/2012 23:58:00,1307.75,1327,1303.75,1319.75,1904532
2/2/2012 23:58:00,1320.25,1326,1317,1322.75,1352211
2/3/2012 23:58:00,1322.75,1342,1320,1339,1704222
2/6/2012 23:58:00,1336.5,1340.5,1330.25,1339,1191584
2/7/2012 23:58:00,1339,1345.75,1331.75,1344.75,1498761
2/8/2012 23:58:00,1344.25,1348.25,1338.25,1347,1540962
2/9/2012 23:58:00,1347,1352.75,1340.75,1348.25,1750116
2/10/2012 23:58:00,1348,1348.25,1333.75,1340.5,1713453
2/13/2012 23:58:00,1347.25,1352.25,1342.75,1349,1234654
2/14/2012 23:58:00,1349.25,1352,1337.75,1347.75,1735366
2/15/2012 23:58:00,1347.5,1358,1338,1342.25,2275907
2/16/2012 23:58:00,1341.75,1357.25,1334.25,1354.75,1959657
2/17/2012 23:58:00,1354.75,1361.25,1353,1359.75,1247605
2/20/2012 23:58:00,1366.75,1369.5,1362.25,1359.75,190288
2/21/2012 23:58:00,1366.75,1369.5,1355.75,1360,1582147
2/22/2012 23:58:00,1359.75,1364,1353,1356,1439240
2/23/2012 23:58:00,1356,1363.75,1350.25,1363,1593827
2/24/2012 23:58:00,1363,1368.5,1361.5,1363.25,1165325
2/27/2012 23:58:00,1363.25,1370.75,1353,1367.25,1662699
2/28/2012 23:58:00,1367.25,1373.75,1364.5,1371.5,1540432
2/29/2012 23:58:00,1371.25,1377.25,1356.75,1364.5,2280683
3/1/2012 23:58:00,1362.25,1375.25,1358.75,1374.5,1966089
3/2/2012 23:58:00,1374.5,1377,1365,1368.75,1458860
3/5/2012 23:58:00,1367.25,1369.5,1358,1364.5,1528635
3/6/2012 23:58:00,1364,1365.75,1338.5,1342,2446910
3/7/2012 23:58:00,1341.5,1354.25,1341.25,1352.75,1888277
3/8/2012 23:58:00,1352.75,1368.5,1350.5,1366.5,1830086
3/9/2012 23:58:00,1366.25,1374.5,1363.25,1372.5,1062312
3/12/2012 23:58:00,1372.75,1372.75,1366,1372.5,904651
3/13/2012 23:58:00,1372.5,1397,1371.5,1396.25,1018838
3/14/2012 23:58:00,1396.5,1399.75,1390,1388.75,511055
3/15/2012 23:58:00,1388.25,1397.5,1384.75,1396,1946542
3/16/2012 23:58:00,1395.75,1400.5,1394,1398.5,1377398
3/19/2012 23:58:00,1397.25,1408,1393.5,1404,1517944
3/20/2012 23:58:00,1404,1405,1391.75,1400,1583682
3/21/2012 23:58:00,1400,1405.75,1394.25,1397.5,1533339
3/22/2012 23:58:00,1397.75,1400.75,1382.5,1389,1682241
3/23/2012 23:58:00,1389,1395.25,1380.5,1394,1559328
3/26/2012 23:58:00,1393.75,1415.5,1392.5,1415,1456063
3/27/2012 23:58:00,1415,1419.75,1406,1406.5,1251732
3/28/2012 23:58:00,1406.25,1412.25,1392,1400.25,1752041
