Date,Open,High,Low,Close,Volume
4/30/1998 17:30:00,36.22,36.22,35.88,36.22,21600
5/4/1998 17:30:00,37.88,37.92,37.69,37.88,20900
5/5/1998 17:30:00,37.49,37.79,36.86,37.49,17500
5/6/1998 17:30:00,37.07,37.41,36.43,37.07,16400
5/7/1998 17:30:00,37.49,37.92,37.07,37.49,35200
5/8/1998 17:30:00,37.24,37.24,36.64,37.24,21300
5/11/1998 17:30:00,36.98,37.58,36.98,36.98,8900
5/12/1998 17:30:00,36.3,36.64,36.22,36.3,5100
5/13/1998 17:30:00,37.07,37.2,36.43,37.07,14700
5/14/1998 17:30:00,36.56,37.28,36.51,36.56,51200
5/15/1998 17:30:00,36.64,37.11,36.56,36.64,55700
5/18/1998 17:30:00,36.56,37.37,36.56,36.56,19200
5/19/1998 17:30:00,37.22,37.32,37.07,37.22,12400
5/20/1998 17:30:00,38.22,38.3,37.77,38.22,17800
5/22/1998 17:30:00,38.41,38.69,38.05,38.41,36300
5/25/1998 17:30:00,39.8,39.8,38.9,39.8,19100
5/26/1998 17:30:00,39.88,39.97,39.75,39.88,38200
5/27/1998 17:30:00,38.79,39.11,38.77,38.79,19700
5/28/1998 17:30:00,38.94,39.2,38.86,38.94,14500
5/29/1998 17:30:00,39.28,39.5,38.86,39.28,23000
6/2/1998 17:30:00,39.24,39.37,39.11,39.24,20300
6/3/1998 17:30:00,39.75,39.84,39.58,39.75,39900
6/4/1998 17:30:00,39.75,39.97,39.67,39.75,15200
6/5/1998 17:30:00,41.07,41.07,40.39,41.07,30500
6/8/1998 17:30:00,42.57,42.95,42.27,42.57,10400
6/9/1998 17:30:00,44.4,44.74,43.31,44.4,29200
6/10/1998 17:30:00,43.89,44.06,42.82,43.89,31900
6/12/1998 17:30:00,43.46,43.97,43.03,43.46,54700
6/15/1998 17:30:00,42.86,43.37,42.61,42.86,28200
6/16/1998 17:30:00,43.97,44.35,43.89,43.97,38500
6/17/1998 17:30:00,46.44,46.44,44.57,46.44,20800
6/18/1998 17:30:00,46.36,47.29,46.27,46.36,80600
6/19/1998 17:30:00,46.36,46.66,46.06,46.36,52000
6/22/1998 17:30:00,45.93,46.23,45.89,45.93,38500
6/23/1998 17:30:00,42.95,44.52,42.18,42.95,76000
6/24/1998 17:30:00,44.31,44.52,43.03,44.31,33400
6/25/1998 17:30:00,44.87,45.46,44.61,44.87,57300
6/26/1998 17:30:00,46.87,46.87,46.02,46.87,30200
6/29/1998 17:30:00,45.93,46.31,45.72,45.93,20100
6/30/1998 17:30:00,46.66,46.87,46.44,46.66,29800
7/1/1998 17:30:00,45.97,46.44,45.85,45.97,37000
7/2/1998 17:30:00,45.29,46.48,45.04,45.29,31500
7/3/1998 17:30:00,45.29,45.8,45.08,45.29,22700
7/6/1998 17:30:00,44.74,45.68,44.1,44.74,39300
7/7/1998 17:30:00,45.16,45.89,45.16,45.16,17600
7/8/1998 17:30:00,44.44,45.42,44.23,44.44,16600
7/9/1998 17:30:00,43.67,45.25,43.25,43.67,28700
7/10/1998 17:30:00,41.71,42.39,38.56,41.71,251200
7/13/1998 17:30:00,42.61,43.67,41.97,42.61,56800
7/14/1998 17:30:00,43.03,43.67,42.82,43.03,45300
7/15/1998 17:30:00,44.52,44.74,43.46,44.52,51000
7/16/1998 17:30:00,44.99,45.5,44.52,44.99,30300
7/17/1998 17:30:00,45.93,46.83,45.16,45.93,16400
7/20/1998 17:30:00,45.76,46.44,45.38,45.76,21500
7/21/1998 17:30:00,48.06,49.21,45.93,48.06,87000
7/22/1998 17:30:00,48.27,50.28,47.93,48.27,327406
7/23/1998 17:30:00,47.64,48.79,46.23,47.64,345008
7/24/1998 17:30:00,48.36,48.36,46.44,48.36,69236
7/27/1998 17:30:00,46.87,48.23,46.44,46.87,68649
7/28/1998 17:30:00,46.44,47.38,46.44,46.44,183065
7/29/1998 17:30:00,47.21,48.36,44.52,47.21,170744
7/30/1998 17:30:00,49.3,49.42,46.48,49.3,370239
7/31/1998 17:30:00,51.94,52.41,50.92,51.94,918849
8/3/1998 17:30:00,49.85,50.92,49.64,49.85,440062
8/4/1998 17:30:00,48.36,49.08,47.51,48.36,144927
8/5/1998 17:30:00,45.46,46.66,44.52,45.46,398989
8/6/1998 17:30:00,44.1,45.85,44.1,44.1,247608
8/7/1998 17:30:00,44.74,44.87,44.31,44.74,179545
8/10/1998 17:30:00,44.78,45.16,44.52,44.78,78624
8/11/1998 17:30:00,40.05,44.74,39.63,40.05,246434
8/12/1998 17:30:00,44.4,44.52,41.84,44.4,191280
8/13/1998 17:30:00,44.35,44.74,42.82,44.35,185412
8/14/1998 17:30:00,44.99,45.59,43.89,44.99,150794
8/17/1998 17:30:00,45.21,45.21,43.46,45.21,58674
8/18/1998 17:30:00,47.08,47.29,46.44,47.08,141993
8/19/1998 17:30:00,47.51,48.15,47.34,47.51,141993
8/20/1998 17:30:00,47.25,47.93,47.25,47.25,62195
8/21/1998 17:30:00,43.89,46.87,43.46,43.89,241154
8/24/1998 17:30:00,44.65,44.65,43.89,44.65,134952
8/25/1998 17:30:00,45.68,45.8,44.52,45.68,237046
8/26/1998 17:30:00,43.46,45.38,43.03,43.46,191280
8/27/1998 17:30:00,41.12,42.61,40.26,41.12,287507
8/28/1998 17:30:00,41.33,42.61,36.51,41.33,443582
8/31/1998 17:30:00,38.99,41.76,38.99,38.99,162529
9/1/1998 17:30:00,38.35,39.2,36.43,38.35,274598
9/2/1998 17:30:00,40.78,41.33,39.84,40.78,160182
9/3/1998 17:30:00,39.07,40.01,38.56,39.07,144340
9/4/1998 17:30:00,39.33,40.05,38.56,39.33,97987
9/7/1998 17:30:00,40.26,41.12,39.84,40.26,108548
9/8/1998 17:30:00,42.61,43.03,41.24,42.61,126151
9/9/1998 17:30:00,42.18,44.31,41.41,42.18,116176
9/10/1998 17:30:00,39.07,40.69,38.69,39.07,242327
9/11/1998 17:30:00,38.56,39.41,36.64,38.56,374346
9/14/1998 17:30:00,40.48,40.9,39.28,40.48,144340
9/15/1998 17:30:00,40.18,40.69,39.71,40.18,178958
9/16/1998 17:30:00,37.49,40.9,37.41,37.49,198908
9/17/1998 17:30:00,37.49,37.49,36.22,37.49,639557
9/18/1998 17:30:00,30.93,34.09,30.93,30.93,431847
9/21/1998 17:30:00,29.83,31.1,29.48,29.83,195974
9/22/1998 17:30:00,32.89,33.87,31.1,32.89,336207
9/23/1998 17:30:00,35.28,35.45,32.81,35.28,161942
9/24/1998 17:30:00,33.87,37.71,33.66,33.87,12321
9/25/1998 17:30:00,32.72,32.72,31.32,32.72,277532
9/28/1998 17:30:00,33.66,35.36,32.81,33.66,161356
9/29/1998 17:30:00,32.85,34.09,32.85,32.85,165463
9/30/1998 17:30:00,30.17,31.96,30.17,30.17,225898
10/1/1998 17:30:00,27.65,29.19,26.84,27.65,468812
10/2/1998 17:30:00,23.43,28.12,23.43,23.43,417178
10/5/1998 17:30:00,23.35,25.91,23.22,23.35,474680
10/6/1998 17:30:00,25.27,27.27,22.8,25.27,432434
10/7/1998 17:30:00,25.74,27.48,24.71,25.74,285747
10/8/1998 17:30:00,23.43,26.2,22.8,23.43,412484
10/9/1998 17:30:00,25.99,27.06,24.93,25.99,301589
10/12/1998 17:30:00,28.25,28.67,26.42,28.25,217408
10/13/1998 17:30:00,27.99,29.61,27.69,27.99,201084
10/14/1998 17:30:00,27.48,27.48,26.42,27.48,225716
10/15/1998 17:30:00,28.76,29.19,27.48,28.76,315196
10/16/1998 17:30:00,29.78,30.46,29.19,29.78,217760
10/19/1998 17:30:00,29.61,30.04,28.55,29.61,150313
10/20/1998 17:30:00,28.55,30.46,27.69,28.55,423639
10/21/1998 17:30:00,27.18,28.97,26.93,27.18,353510
10/22/1998 17:30:00,27.78,28.97,27.18,27.78,400028
10/23/1998 17:30:00,27.91,28.46,27.06,27.91,183893
10/26/1998 17:30:00,29.36,29.44,27.48,29.36,231648
10/27/1998 17:30:00,29.87,29.95,29.4,29.87,409721
10/28/1998 17:30:00,28.97,29.61,28.55,28.97,163532
10/29/1998 17:30:00,29.4,29.4,28.76,29.4,89174
10/30/1998 17:30:00,29.61,30.21,29.61,29.61,383693
11/2/1998 17:30:00,30.68,31.27,30.25,30.68,323516
11/3/1998 17:30:00,30.63,31.96,30.63,30.63,222753
11/4/1998 17:30:00,31.79,32.17,30.46,31.79,272768
11/5/1998 17:30:00,32.55,33.45,31.32,32.55,365902
11/6/1998 17:30:00,32.51,33.66,32.17,32.51,167751
11/9/1998 17:30:00,32.17,33.28,32.17,32.17,177433
11/10/1998 17:30:00,31.79,33.23,31.79,31.79,177233
11/11/1998 17:30:00,32.3,32.72,31.61,32.3,85014
11/12/1998 17:30:00,31.32,32.38,31.19,31.32,262447
11/13/1998 17:30:00,30.89,31.57,30.76,30.89,139376
11/16/1998 17:30:00,31.96,31.96,31.1,31.96,157078
11/17/1998 17:30:00,31.19,32.38,31.19,31.19,126825
11/18/1998 17:30:00,31.47,32.21,31.1,31.47,282220
11/19/1998 17:30:00,31.96,32.17,31.49,31.96,352178
11/20/1998 17:30:00,32.13,32.47,31.96,32.13,233526
